20000101,00-01-01,2000/01/01,7,Saturday,1,Weekend,1,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000102,00-01-02,2000/01/02,1,Sunday,2,Weekday,2,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000103,00-01-03,2000/01/03,2,Monday,3,Weekday,2,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000104,00-01-04,2000/01/04,3,Tuesday,4,Weekday,2,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000105,00-01-05,2000/01/05,4,Wednesday,5,Weekday,2,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000106,00-01-06,2000/01/06,5,Thursday,6,Weekday,2,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000107,00-01-07,2000/01/07,6,Friday,7,Weekend,2,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000108,00-01-08,2000/01/08,7,Saturday,8,Weekend,2,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000109,00-01-09,2000/01/09,1,Sunday,9,Weekday,3,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000110,00-01-10,2000/01/10,2,Monday,10,Weekday,3,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000111,00-01-11,2000/01/11,3,Tuesday,11,Weekday,3,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000112,00-01-12,2000/01/12,4,Wednesday,12,Weekday,3,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000113,00-01-13,2000/01/13,5,Thursday,13,Weekday,3,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000114,00-01-14,2000/01/14,6,Friday,14,Weekend,3,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000115,00-01-15,2000/01/15,7,Saturday,15,Weekend,3,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000116,00-01-16,2000/01/16,1,Sunday,16,Weekday,4,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000117,00-01-17,2000/01/17,2,Monday,17,Weekday,4,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000118,00-01-18,2000/01/18,3,Tuesday,18,Weekday,4,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000119,00-01-19,2000/01/19,4,Wednesday,19,Weekday,4,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000120,00-01-20,2000/01/20,5,Thursday,20,Weekday,4,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000121,00-01-21,2000/01/21,6,Friday,21,Weekend,4,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000122,00-01-22,2000/01/22,7,Saturday,22,Weekend,4,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000123,00-01-23,2000/01/23,1,Sunday,23,Weekday,5,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000124,00-01-24,2000/01/24,2,Monday,24,Weekday,5,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000125,00-01-25,2000/01/25,3,Tuesday,25,Weekday,5,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000126,00-01-26,2000/01/26,4,Wednesday,26,Weekday,5,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000127,00-01-27,2000/01/27,5,Thursday,27,Weekday,5,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000128,00-01-28,2000/01/28,6,Friday,28,Weekend,5,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000129,00-01-29,2000/01/29,7,Saturday,29,Weekend,5,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000130,00-01-30,2000/01/30,1,Sunday,30,Weekday,6,January,1,N,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000131,00-01-31,2000/01/31,2,Monday,31,Weekday,6,January,1,Y,1,2000,2000-01,2000Q1,7,3,2000,FY2000-07,FY2000Q3
20000201,00-02-01,2000/02/01,3,Tuesday,1,Weekday,6,February,2,N,1,2000,2000-02,2000Q1,8,3,2000,FY2000-08,FY2000Q3
20000202,00-02-02,2000/02/02,4,Wednesday,2,Weekday,6,February,2,N,1,2000,2000-02,2000Q1,8,3,2000,FY2000-08,FY2000Q3
20000203,00-02-03,2000/02/03,5,Thursday,3,Weekday,6,February,2,N,1,2000,2000-02,2000Q1,8,3,2000,FY2000-08,FY2000Q3
20000204,00-02-04,2000/02/04,6,Friday,4,Weekend,6,February,2,N,1,2000,2000-02,2000Q1,8,3,2000,FY2000-08,FY2000Q3
20000205,00-02-05,2000/02/05,7,Saturday,5,Weekend,6,February,2,N,1,2000,2000-02,2000Q1,8,3,2000,FY2000-08,FY2000Q3
20000206,00-02-06,2000/02/06,1,Sunday,6,Weekday,7,February,2,N,1,2000,2000-02,2000Q1,8,3,2000,FY2000-08,FY2000Q3
20000207,00-02-07,2000/02/07,2,Monday,7,Weekday,7,February,2,N,1,2000,2000-02,2000Q1,8,3,2000,FY2000-08,FY2000Q3
20000208,00-02-08,2000/02/08,3,Tuesday,8,Weekday,7,February,2,N,1,2000,2000-02,2000Q1,8,3,2000,FY2000-08,FY2000Q3
20000209,00-02-09,2000/02/09,4,Wednesday,9,Weekday,7,February,2,N,1,2000,2000-02,2000Q1,8,3,2000,FY2000-08,FY2000Q3
20000210,00-02-10,2000/02/10,5,Thursday,10,Weekday,7,February,2,N,1,2000,2000-02,2000Q1,8,3,2000,FY2000-08,FY2000Q3
20000211,00-02-11,2000/02/11,6,Friday,11,Weekend,7,February,2,N,1,2000,2000-02,2000Q1,8,3,2000,FY2000-08,FY2000Q3
